Respondent ID,Age group,Gender,Category,Marital status,Deciding factors to buy car,Likelihood of customised vehicle if FOC,Exterior components to customise,Interior components to customise,Customisation Budget,Interest in personalising car,Personalisation Budget,Any cadding experience,Singaporean design idea feedback,Total exterior parts to customise,Total interior parts to customise,Total factors to buy car
2111da4c-fad8-41e0-acef-fb975beef585,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Customisable options,Very likely,Grilles,Centre compartment,under 500,Only with professional help,500-1000,"No, I would need a designer to model my sketch",-,1,1,4
ce5684d2-65e0-4f41-b96b-2a51d4173554,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights;Side mirrors,Centre compartment,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch",wheels that look like the singapore flyer,4,1,7
e017c55c-778a-42d5-91e2-1bf49da65b97,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Aesthetics;Functionality;Customisable options,Very likely,Wheels;Grilles;Headlights;Side mirrors,Steering wheel;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own",-,4,2,3
bc981a2b-9a72-4554-986c-ef76810ebe89,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Yes,under 500,"No, I would need a designer to model my sketch",-,5,4,8
ca00494f-6247-4f87-bdfd-7f3efb5278c9,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Grilles;Headlights;Bumpers,Steering wheel;Centre compartment,over 1000,Only with professional help,over 1000,"No, I would need a designer to model my sketch",Sg flag/ colour related car paint,4,2,5
96813028-e4df-4f1e-b13c-d4df4cda0f18,20-30,Male,Own more than one car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Likely,Wheels;Bumpers,Centre compartment;Dashboard,500-1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch",-,2,2,6
77f06259-bf6d-4982-b881-2b5d9800894b,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality,Very likely,Wheels;Grilles,Steering wheel;Dashboard,500-1000,No,500-1000,"No, I would need a designer to model my sketch",-,2,2,3
8862c4bb-1903-478a-957d-adeb9c4a8f5b,51-60,Female,Own a car,Married with children,Price;Brand name;Functionality,Very likely,Grilles,Centre compartment;Dashboard;Sun blocker for front passengers,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch",It rains a lot so an umbrella holder or extendable shelter ,1,3,3
e2b155ee-a43d-4992-a54a-33daf06df382,20-30,Male,Own a car,Single,Price;Brand name;Aesthetics;Functionality;Size,Very likely,-,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,"No, I would need a designer to model my sketch",-,1,4,5
d8eba0fd-7207-4bd0-9d34-79b3c96a2fdb,41-50,Male,Own a car,Single,Price,Very likely,Wheels,Steering wheel,under 500,Yes,under 500,"No, I would need a designer to model my sketch",-,1,1,1
